continente,fator_risco,p7,IA21,EPG
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,0.0,0.0,0.0
America do Sul,1.0,3.0714285714285716,0.0,0.0
America do Sul,1.0,2.857142857142857,0.0,0.0
America do Sul,1.0,2.523809523809524,0.004081925283600546,0.01030200190622995
America do Sul,1.0,2.238095238095238,0.004308698910467244,0.009643278513902879
America do Sul,1.0,2.130952380952381,0.006349661552267516,0.013530826403046254
America do Sul,1.0,2.130952380952381,0.006349661552267516,0.013530826403046254
America do Sul,1.0,2.0452380952380955,0.006576435179134214,0.013450375759229263
America do Sul,1.0,2.3071428571428574,0.007483529686601002,0.017265572062658028
America do Sul,1.0,2.4261904761904765,0.007937076940334397,0.019256860481430358
America do Sul,1.0,2.75952380952381,0.011565454970201549,0.03191514835824666
America do Sul,1.0,3.0452380952380955,0.012472549477668337,0.03798188281413763
America do Sul,1.0,3.1523809523809527,0.01700802201500228,0.05361576463776909
America do Sul,1.0,3.295238095238095,0.01836866377620246,0.06052912063396239
America do Sul,1.0,3.380952380952381,0.021089947298602824,0.07130410753337145
America do Sul,1.0,3.4761904761904767,0.024718325328469976,0.08592560709420517
America do Sul,1.0,3.5,0.024718325328469976,0.08651413864964491
America do Sul,1.0,3.5,0.0308412132538708,0.1079442463885478
America do Sul,1.0,3.5,0.038778290194205194,0.13572401567971817
America do Sul,1.0,3.5,0.05465244407487398,0.19128355426205895
America do Sul,1.0,3.5,0.054425670448007286,0.1904898465680255
America do Sul,1.0,3.3857142857142857,0.057600501224141044,0.19501883985887752
